WorkTimeInSeconds...1,multiplier,amount,age,gender,income,WorkTimeInSeconds...7,"Q3_1 On a scale of 0 to 100, how would you describe your political views?","Q8_1 On a scale of 0 to 100, how would you describe your religious orientation?","Q5 In the 2016 Presidential election, who did you vote for?",Q9 What State do you live in?,Q7 Do you consider yourself a:,"Q8 Aside from weddings and funerals, how often do you attend religious services?",batch
917,1.23,0.4,18-29,Male,"$20,000 - $39,999",32,38,9,Someone else,WA,Independent,A few times a year,g
77,1.1,0,60-69,Female,"$60,000 - $79,999",64,95,22,Hillary Clinton,PA,Democrat,A few times a year,g
87,0.13,0,18-29,Male,"$40,000 - $59,999",47,100,1,Hillary Clinton,CA,Democrat,Never,g
100,1.01,0,50-59,Female,"$20,000 - $39,999",141,90,0,Hillary Clinton,MD,Democrat,Never,g
1529,1.96,0,18-29,Male,"Over $100,000",1075,1,10,Didn't vote,OR,Republican,Once a week,g
166,0.99,0,40-49,Male,"$40,000 - $59,999",52,92,0,Hillary Clinton,MN,Democrat,Never,g
59,0.92,0.2,18-29,Female,"Over $100,000",800,86,58,Hillary Clinton,MD,Independent,A few times a year,g
178,1.94,0.4,30-39,Male,"$60,000 - $79,999",325,96,0,Hillary Clinton,MI,Democrat,Never,g
155,1.34,0.25,50-59,Female,"$20,000 - $39,999",76,89,1,Hillary Clinton,MD,Democrat,Never,g
234,0.23,1,18-29,Male,"$60,000 - $79,999",106,89,71,Hillary Clinton,AL,Independent,Once or twice a month,g
70,1.37,0.4,40-49,Female,"$40,000 - $59,999",34,13,99,Donald Trump,MI,Republican,Once a week,g
284,1.56,0,30-39,Male,"$80,000 - $99,999",59,41,0,Donald Trump,PA,Independent,Never,g
88,0.96,0,18-29,Female,"Under $20,000",68,55,4,Didn't vote,OR,Democrat,Never,g
35,2,0,40-49,Female,"$80,000 - $99,999",44,7,100,Donald Trump,ME,Republican,More than once a week,g
180,0.89,0.53,30-39,Female,"$60,000 - $79,999",64,69,73,Donald Trump,FL,Republican,Once or twice a month,g
231,1.28,0.2,18-29,Male,"$20,000 - $39,999",33,40,81,Didn't vote,MD,Independent,Seldom,g
321,0.73,1,18-29,Male,"$40,000 - $59,999",106,44,51,Hillary Clinton,AL,Republican,Once or twice a month,g
179,0.6,1,30-39,Female,"$20,000 - $39,999",45,76,60,Didn't vote,TX,Independent,A few times a year,g
158,1.87,0,18-29,Female,"$60,000 - $79,999",42,92,0,Hillary Clinton,CA,Democrat,Never,g
213,0.16,1,18-29,Male,"$60,000 - $79,999",62,66,58,Donald Trump,FL,Republican,Seldom,g
1321,0.79,0,18-29,Female,"$40,000 - $59,999",52,78,78,Didn't vote,FL,Democrat,Seldom,g
91,1.74,0.4,30-39,Female,"$60,000 - $79,999",770,51,9,Didn't vote,WI,Independent,Never,g
87,0.4,0,18-29,Female,"$80,000 - $99,999",21,85,15,Hillary Clinton,CA,Democrat,Once or twice a month,g
255,1.38,0.4,60-69,Female,"Under $20,000",116,30,81,Didn't vote,WA,Independent,Once a week,g
53,2,0.5,18-29,Female,"$20,000 - $39,999",46,71,0,Donald Trump,KY,Something else,Never,g
833,0.01,0,18-29,Male,"$40,000 - $59,999",2789,81,24,Donald Trump,TX,Independent,Never,g
71,1.69,0,18-29,Male,"$20,000 - $39,999",41,50,0,Hillary Clinton,SC,Independent,Never,g
68,1.23,0,18-29,Female,"$40,000 - $59,999",36,14,0,Donald Trump,NC,Republican,Never,g
87,0.93,0,30-39,Female,"Over $100,000",28,73,0,Hillary Clinton,IN,Democrat,Never,g
71,1.75,0,40-49,Female,"Over $100,000",454,80,0,Didn't vote,NY,Independent,Seldom,g
1718,0.11,1,18-29,Male,"$40,000 - $59,999",1443,61,59,Donald Trump,CA,Democrat,Once a week,g
